[00:00.000 - 00:01.310] 那后面在这个。
[00:01.310 - 00:05.420] ，所以这上传那个逻辑呢时先肯定是。
[00:05.420 - 00:08.210] 每一个上传的时候是一个。
[00:08.210 - 00:10.790] 用一个来说话，多的不说哈。
[00:10.790 - 00:14.760] 一个诊的文档。那诊顿文档呢办公室他就是。
[00:14.760 - 00:18.490] 算了他这个字量的窗口就处理不了。
[00:18.490 - 00:23.540] 那么多不长所以就像这样的70岁。
[00:23.540 - 00:24.430] 这就是的。
[00:24.430 - 00:25.700] 哇切片。
[00:25.700 - 00:32.200] 切片呢切来它就会切出很多个创口，这个就是个合心面，怎么切？
[00:32.200 - 00:34.140] 就是我们要解这问题。
[00:34.140 - 00:37.750] 你整到切的部分，它已经切断，相关能切到一起。所以。
[00:37.750 - 00:39.590] 就是价值。
[00:39.590 - 00:41.460] 聚合度最高的圈。
[00:41.460 - 00:45.420] 语音记录是最大钱切切完了之后呢。
[00:45.420 - 00:47.360] 这个地方。
[00:47.360 - 00:48.460] 那不掉。
[00:48.460 - 00:49.850] 嗯。
[00:49.850 - 00:51.750] Wedding.
[00:51.750 - 00:54.710] In家 model。
[00:54.710 - 00:58.270] 这他也是一个你也可以理解为就是一个。
[00:58.270 - 01:03.170] 呃，类似于大大圆模型的一个一种磁嵌的模型。
[01:03.170 - 01:06.320] 它本质实际上是管理里面的所有费务。
[01:06.320 - 01:11.150] 呃，全部做成一个每一个每一个创者都给你做成一个向量。
[01:11.150 - 01:13.140] 因为他一开始是拿一个项链。
[01:13.140 - 01:15.540] 就相当于一定是个高位千的，非常高的。
[01:15.540 - 01:21.020] 那这应该有对，是这个取决于你这个意他的那量我又收不到。
[01:21.020 - 01:24.010] 然后他每个地方他都不同的是赶快。
[01:24.010 - 01:28.590] 权重吗？可这个淘太鲜不。
[01:28.590 - 01:29.790] 我第一次。
[01:29.790 - 01:31.380] 并个办好。
[01:31.380 - 01:32.960] 报告不肯定。
[01:32.960 - 01:34.290] そかす。
[01:34.290 - 01:35.620] 在家可以そ。
[01:35.620 - 01:43.350] proDB对，这是个这是个相当分的库。any,不是这个。
[01:43.350 - 01:47.040] 是比如说BGE什么什么。
[01:47.040 - 01:49.660] 三就是北京智源的一个一般。
[01:49.660 - 01:51.120] 有很多有快递 model的。
[01:51.120 - 01:56.790] 而他这个不是关工司的本质，就是把你的这一段文字，这个片段文字来听讲。
[01:56.790 - 01:57.600] 没没。
[01:57.600 - 02:00.340] 他会比较多。
[02:00.340 - 02:00.990] 真道。
[02:00.990 - 02:06.090] 现们开始讲啊，我我我刚刚听到听到了哈，顺手顺顺手做一些测试。对。
[02:06.090 - 02:09.860] 把它整片切成了小片之后，嗯，其实他小片还是文本。
[02:09.860 - 02:14.340] 我现在需要把这个文本变成向量，向量是什么东西？
[02:14.340 - 02:15.700] 就是高位数组。
[02:15.700 - 02:21.550] 在在几何里面现在是一个有有有有大小有方向的一个质量。
[02:21.550 - 02:28.710] 然后在数学在计算机里面，它是一个高维的数组，它这数组里面每个数组里面存的都是一个。
[02:28.710 - 02:43.710] 你可以理解为是一对他是一个将翰就像了，他你可以理解为他每一个都是一个呃权重。嗯，啊这个权重它有精度，可能0.50点几几几几几1.几几几，就这个权重越大，其实就代表你的模型是越重的，越大的。
[02:43.710 - 02:51.690] 但你的精度也会越高，可理讲，就是他可能理理解的语义就会更丰富。好，这啥意思呢？就是把这一趴。
[02:51.690 - 02:54.890] 嗯，然后他现这几个字。
[02:54.890 - 03:00.020] 然后嵌入你每一个字都开始嵌入，每一个字在做嵌入的时候，实际上。
[03:00.020 - 03:03.770] 每个字的加入都会改变这个向量嗯，这权重嗯。
[03:03.770 - 03:09.920] 直到这个全部加入进来，它就固定成了一个向量，就是这一段固定成了一个向量。
[03:09.920 - 03:12.790] 同样的这一段也会固定成另外一个向量。
[03:12.790 - 03:15.310] 这一段也会固定成另外一个向量。
[03:15.310 - 03:22.000] 哎另为现在有假设切了三片，它就会产生三个向量，对用这个inbody模型。好，这三个向量呢。
[03:22.000 - 03:25.410] 集团相似度。好，然后就要把它。
[03:25.410 - 03:27.400] 这叫商量化。
[03:27.400 - 03:30.750] 签在话之后呢，现在他要干嘛？要入库？
[03:30.750 - 03:37.440] 我要把它存在校链数据库里面。嗯，向链数据库里面，刚刚你看的这个叫做pro码前端的话。
[03:37.440 - 03:39.000] 河maDB.
[03:39.000 - 03:41.520] 还有vi之类的。
[03:41.520 - 03:43.290] 我你刷的时候。
[03:43.290 - 03:47.870] ，然后等等有有有很多主流的销链数据库。另外它就像我们存。
[03:47.870 - 03:53.550] mycyclcle从数据库一样，它是从数据。好的，但是你可能在这种像数库你看到的可能。
[03:53.550 - 04:02.190] 他每一个就是一个一个文本，很只是你打不开而已，是有他他这数据库他才能知道他怎么知道怎么所以不开好。
[04:02.190 - 04:03.080] 好。
[04:03.080 - 04:07.530] 截止目前，这一趴就做叫做知识入库就已经做完了嗯。
[04:07.530 - 04:14.430] 做完了之后呢，现在你你要开发一个rag的应AI应用，你怎么开发，你要做一个。
[04:14.430 - 04:17.700] 做一个聊天框对吧？这个QNA。
[04:17.700 - 04:19.710] 你要做一个聊天框。
[04:19.710 - 04:21.850] 你在这个地方输入你的问题。
[04:21.850 - 04:24.830] 说你的问题，他第一步是干嘛呢？
[04:24.830 - 04:25.920] 好的。
[04:25.920 - 04:27.580] 这些需要啊。
[04:27.580 - 04:28.770] 唔为。
[04:28.770 - 04:32.390] 摸虾炉是吗？关你问底香港对。
[04:32.390 - 04:45.890] 叫inbedding model啊，你用这个inbedding model嵌入，你最好是用这个inbody embedding model去做，那肯定是最好的。但是无所谓无所谓也费费用别的，如检索起来可能会有差异啊。
[04:45.890 - 04:52.210] 然后你会掉这个infin model，你这不就有有一句话嘛？同样的把这句话也做成一个向量。
[04:52.210 - 05:02.390] 就这句话就是用户的这个问题，你刚提的一条问题，我们把它做成一个向量，也是这么这么高维的啊，然后呢度。
[05:02.390 - 05:05.730] 到这个向量数据库里面去。
[05:05.730 - 05:07.960] 做鱼先相似度，然后他。
[05:07.960 - 05:09.550] 投机用品的非优又来。
[05:09.550 - 05:14.180] 我我是啊，做宇轩相似度啊与轩相似度呢。
[05:14.180 - 05:16.710] cosine嘛在几何里面。
[05:16.710 - 05:18.370] 你就可以看到。
[05:18.370 - 05:22.790] 他是有两个，假设是二维哈，你就可以看到他两个。
[05:22.790 - 05:25.240] 这个这个。
[05:25.240 - 05:26.690] 不是。
[05:26.690 - 05:27.890] 嗯嗯，嗯这能。
[05:27.890 - 05:34.700] 嗯，你就你去找嘛，因为它不是二维嘛，嗯它高维嘛，嗯你就会可能会找到很多个相似的啊OK。
[05:34.700 - 05:38.070] 你你这个地方好像你去做了一些像似录之后。
[05:38.070 - 05:39.770] 这个叫检索。
[05:39.770 - 05:41.440] 哇，减速。
[05:41.440 - 05:43.800] 结束。
[05:43.800 - 05:50.940] 就是召回的这个过程。好，这个时候你检索召回的时候，你可能要设一个topK。
[05:50.940 - 05:56.860] 啊，那这个时候比如说你topK，你是设置的三，嗯，那你就召回。
[05:56.860 - 05:59.680] 他会对每一个相似度他会算一个。
[05:59.680 - 06:02.730] 相似度嘛按照相似度最高的。
[06:02.730 - 06:06.310] 三个或者5个，你topK是多少，你直接给你召回几个。
[06:06.310 - 06:08.400] 假设你topK你设置的3。
[06:08.400 - 06:11.260] 那他就会把相似度最高的三个片段。
[06:11.260 - 06:12.430] 给你召回。
[06:12.430 - 06:15.270] 三个就三段三段。
[06:15.270 - 06:18.960] 向量还原出来，其实就是这三段嘛三段三个创开。
[06:18.960 - 06:19.630] 好。
[06:19.630 - 06:20.880] 好此时此刻。
[06:20.880 - 06:25.290] 这是还原出来，他就是。
[06:25.290 - 06:26.480] 三个文本。
[06:26.480 - 06:27.590] 对吧嗯。
[06:27.590 - 06:29.750] 这里还有个文件是吧？
[06:29.750 - 06:31.820] 他把这三个文本和这个文本。
[06:31.820 - 06:34.290] 放在一起。
[06:34.290 - 06:36.180] 再去调1个LLM。
[06:36.180 - 06:37.020] 哦，嗯。
[06:37.020 - 06:41.890] 让LM基于用户的问题和召回的信息。
[06:41.890 - 06:45.580] 然后你可定要你LM，你要给他stem prompt呀。
[06:45.580 - 06:46.230] 嗯。
[06:46.230 - 06:52.020] 你可能会给他些，你你不能自己臆想，你一定要根据我提供给你的支持多打。
[06:52.020 - 06:56.030] 或者你没有说我他他可能什么都会结合，然后来回答你。
[06:56.030 - 06:57.620] 他就会给你一个回答。
[06:57.620 - 07:00.750] 这回答显示到你的对话框里面。
[07:00.750 - 07:01.600] 就结束了。
[07:01.600 - 07:04.200] 所以你这个环节出问题。
[07:04.200 - 07:05.220] 结合。
[07:05.220 - 07:08.550] 我们首先要解决的是这个地方要切的好。
